Shape,Size,Algorithm,Scenario,SampleCount,MeanMilliseconds,MedianMilliseconds,StdMilliseconds,MeanAllocatedBytes,MedianAllocatedBytes
Complete,10,CacheDfs,Cold,1000,0.002438399999999966,0.002,0.008654041707657626,1432.0,1432.0
Complete,10,CacheDfs,WarmCache,15,0.00014666666666666,0.0001,0.00011872336794092348,40.0,40.0
Complete,10,RecursiveDfs,Cold,1000,0.0004990999999999801,0.0005,0.0002407221160116648,40.0,40.0
Complete,10,RecursiveDfs,WarmBaseline,15,0.00039333333333328664,0.0004,9.611501047235173e-05,40.0,40.0
Complete,100,CacheDfs,Cold,1000,0.01162099999999997,0.0109999999999999,0.0014623602488776566,14952.0,14952.0
Complete,100,CacheDfs,WarmCache,15,0.00012666666666666666,0.0001,7.037315505489969e-05,40.0,40.0
Complete,100,RecursiveDfs,Cold,1000,0.003196199999999964,0.0030999999999999,0.00074860267563372,40.0,40.0
Complete,100,RecursiveDfs,WarmBaseline,15,0.003206666666666627,0.0030999999999999,0.0002890048607269561,40.0,40.0
Complete,1000,CacheDfs,Cold,1000,0.09254509999999996,0.0903999999999999,0.0061920107386039805,151136.0,151136.0
Complete,1000,CacheDfs,WarmCache,15,0.00012666666666666,0.0001,7.988086367178252e-05,40.0,40.0
Complete,1000,RecursiveDfs,Cold,1000,0.02864969999999996,0.0281999999999999,0.0016751376050927885,3688.0,3688.0
Complete,1000,RecursiveDfs,WarmBaseline,15,0.0321733333333333,0.0310999999999999,0.0020868522662019938,3688.0,3688.0
DegenerateLeft,10,CacheDfs,Cold,1000,0.001490999999999944,0.0012999999999999,0.000994448554691465,1432.0,1432.0
DegenerateLeft,10,CacheDfs,WarmCache,15,0.0001333333333333267,0.0001,9.759000729484112e-05,40.0,40.0
DegenerateLeft,10,RecursiveDfs,Cold,1000,0.000508299999999991,0.0005,0.0006463891466670257,40.0,40.0
DegenerateLeft,10,RecursiveDfs,WarmBaseline,15,0.00042,0.0004,4.1403933560541246e-05,40.0,40.0
DegenerateLeft,100,CacheDfs,Cold,1000,0.024594299999999965,0.0235999999999999,0.005297918974036454,37200.0,37200.0
DegenerateLeft,100,CacheDfs,WarmCache,15,0.00023333333333332666,0.0001,0.00028199966227604396,40.0,40.0
DegenerateLeft,100,RecursiveDfs,Cold,1000,0.009312799999999961,0.0083999999999999,0.003446594721631071,16224.0,16224.0
DegenerateLeft,100,RecursiveDfs,WarmBaseline,15,0.009633333333333294,0.0083999999999999,0.0035150018627645406,16224.0,16224.0
DegenerateLeft,1000,CacheDfs,Cold,1000,0.6225022,0.6172999999999998,0.054935869018928496,1301760.0,1301760.0
DegenerateLeft,1000,CacheDfs,WarmCache,15,0.00021333333333332666,0.0002,0.00016846647257227603,40.0,40.0
DegenerateLeft,1000,RecursiveDfs,Cold,1000,0.44482809999999995,0.4421999999999999,0.04010484083809143,909280.0,909280.0
DegenerateLeft,1000,RecursiveDfs,WarmBaseline,15,0.4476266666666666,0.445,0.017970271747156933,909280.0,909280.0
