Scenario,Shape,Size,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdMilliseconds,MinMilliseconds,MaxMilliseconds,MeanAllocatedBytes,MedianAllocatedBytes,MinAllocatedBytes,MaxAllocatedBytes,Failures
Cold,Complete,10,Bfs,1000,0.0014103999999999523,0.0008999999999999,0.014671965048976849,0.0004,0.4645,416.024,416.0,416,440,0
Cold,Complete,10,CacheDfs,1000,0.002438399999999966,0.002,0.008654041707657626,0.001,0.2735,1432.0,1432.0,1432,1432,0
Cold,Complete,10,Morris,1000,0.0015149999999999595,0.001,0.012203485570117259,0.0006999999999999,0.3865,40.0,40.0,40,40,0
Cold,Complete,10,RecursiveDfs,1000,0.0004990999999999801,0.0005,0.0002407221160116648,0.0002,0.006,40.0,40.0,40,40,0
Cold,Complete,100,Bfs,1000,0.0036629999999999653,0.0035,0.0008025553532904091,0.0028999999999999,0.0225999999999999,3176.0,3176.0,3176,3176,0
Cold,Complete,100,CacheDfs,1000,0.01162099999999997,0.0109999999999999,0.0014623602488776566,0.0088,0.0208999999999999,14952.0,14952.0,14952,14952,0
Cold,Complete,100,Morris,1000,0.008977699999999958,0.0086999999999999,0.0017818776046063876,0.0068999999999999,0.0465,40.0,40.0,40,40,0
Cold,Complete,100,RecursiveDfs,1000,0.003196199999999964,0.0030999999999999,0.00074860267563372,0.0023999999999999,0.0195,40.0,40.0,40,40,0
Cold,Complete,1000,Bfs,1000,0.03312919999999996,0.0321999999999999,0.002763661554023072,0.027,0.0698,40144.0,40144.0,40144,40144,0
Cold,Complete,1000,CacheDfs,1000,0.09254509999999996,0.0903999999999999,0.0061920107386039805,0.0848,0.1474,151136.0,151136.0,151136,151136,0
Cold,Complete,1000,Morris,1000,0.07906369999999996,0.0769999999999999,0.0051817335586338935,0.0723,0.1218999999999999,15784.0,15784.0,15784,15784,0
Cold,Complete,1000,RecursiveDfs,1000,0.02864969999999996,0.0281999999999999,0.0016751376050927885,0.024,0.0371999999999999,3688.0,3688.0,3688,3688,0
Cold,DegenerateLeft,10,Bfs,1000,0.0006170999999999715,0.0005,0.00044338942723544795,0.0002999999999999,0.0073,200.0,200.0,200,200,0
