Shape,Size,Algorithm,Scenario,SampleCount,MeanMilliseconds,MedianMilliseconds,StdMilliseconds,MeanAllocatedBytes,MedianAllocatedBytes
Complete,10,Bfs,Cold,1000,0.0014103999999999523,0.0008999999999999,0.014671965048976849,416.024,416.0
Complete,10,CacheDfs,WarmCache,15,0.00014666666666666,0.0001,0.00011872336794092348,40.0,40.0
Complete,10,Morris,Cold,1000,0.0015149999999999595,0.001,0.012203485570117259,40.0,40.0
Complete,10,RecursiveDfs,WarmBaseline,15,0.00039333333333328664,0.0004,9.611501047235173e-05,40.0,40.0
Complete,100,Bfs,Cold,1000,0.0036629999999999653,0.0035,0.0008025553532904091,3176.0,3176.0
Complete,100,CacheDfs,WarmCache,15,0.00012666666666666666,0.0001,7.037315505489969e-05,40.0,40.0
Complete,100,Morris,Cold,1000,0.008977699999999958,0.0086999999999999,0.0017818776046063876,40.0,40.0
Complete,100,RecursiveDfs,WarmBaseline,15,0.003206666666666627,0.0030999999999999,0.0002890048607269561,40.0,40.0
Complete,1000,Bfs,Cold,1000,0.03312919999999996,0.0321999999999999,0.002763661554023072,40144.0,40144.0
Complete,1000,CacheDfs,WarmCache,15,0.00012666666666666,0.0001,7.988086367178252e-05,40.0,40.0
Complete,1000,Morris,Cold,1000,0.07906369999999996,0.0769999999999999,0.0051817335586338935,15784.0,15784.0
Complete,1000,RecursiveDfs,WarmBaseline,15,0.0321733333333333,0.0310999999999999,0.0020868522662019938,3688.0,3688.0
DegenerateLeft,10,Bfs,Cold,1000,0.0006170999999999715,0.0005,0.00044338942723544795,200.0,200.0
DegenerateLeft,10,CacheDfs,WarmCache,15,0.0001333333333333267,0.0001,9.759000729484112e-05,40.0,40.0
DegenerateLeft,10,Morris,Cold,1000,0.001195499999999973,0.0011,0.0006676642311263358,40.0,40.0
DegenerateLeft,10,RecursiveDfs,WarmBaseline,15,0.00042,0.0004,4.1403933560541246e-05,40.0,40.0
DegenerateLeft,100,Bfs,Cold,1000,0.007040899999999958,0.0066,0.002166723766861363,9328.0,9328.0
DegenerateLeft,100,CacheDfs,WarmCache,15,0.00023333333333332666,0.0001,0.00028199966227604396,40.0,40.0
DegenerateLeft,100,Morris,Cold,1000,0.015622899999999974,0.0154,0.002687234045783281,13624.0,13624.0
DegenerateLeft,100,RecursiveDfs,WarmBaseline,15,0.009633333333333294,0.0083999999999999,0.0035150018627645406,16224.0,16224.0
DegenerateLeft,1000,Bfs,Cold,1000,0.10538009999999999,0.1042,0.014571953740862136,470320.0,470320.0
DegenerateLeft,1000,CacheDfs,WarmCache,15,0.00021333333333332666,0.0002,0.00016846647257227603,40.0,40.0
DegenerateLeft,1000,Morris,Cold,1000,0.4086027,0.4057999999999999,0.047689988862944246,704560.0,704560.0
DegenerateLeft,1000,RecursiveDfs,WarmBaseline,15,0.4476266666666666,0.445,0.017970271747156933,909280.0,909280.0
DegenerateRight,10,Bfs,Cold,1000,0.000957099999999943,0.0008999999999999,0.000386081142570651,200.0,200.0
DegenerateRight,10,CacheDfs,WarmCache,15,0.0002533333333332933,0.0002,0.00018847761013923364,40.0,40.0
DegenerateRight,10,Morris,Cold,1000,0.0007463999999999415,0.0006999999999999,0.0003754570654655586,40.0,40.0
DegenerateRight,10,RecursiveDfs,WarmBaseline,15,0.0005466666666666467,0.0005,0.000145732958654133,40.0,40.0
DegenerateRight,100,Bfs,Cold,1000,0.006823099999999959,0.0064999999999999,0.0012507840944187187,9328.0,9328.0
DegenerateRight,100,CacheDfs,WarmCache,15,0.00025999999999999336,0.0002,0.00023543273227944565,40.0,40.0
DegenerateRight,100,Morris,Cold,1000,0.00735639999999996,0.007,0.003741159621736999,9168.0,9168.0
DegenerateRight,100,RecursiveDfs,WarmBaseline,15,0.008026666666666633,0.0079,0.0006891678902505208,16224.0,16224.0
DegenerateRight,1000,Bfs,Cold,1000,0.10461349999999997,0.1044,0.005444443931176053,470320.0,470320.0
DegenerateRight,1000,CacheDfs,WarmCache,15,0.0003999999999999667,0.0002999999999999,0.00032513733362116376,40.0,40.0
DegenerateRight,1000,Morris,Cold,1000,0.10699219999999998,0.1063,0.011631799427342184,470160.0,470160.0
DegenerateRight,1000,RecursiveDfs,WarmBaseline,15,0.44723999999999997,0.443,0.01174422654510961,909280.0,909280.0
Random,10,Bfs,Cold,1000,0.0013579999999999602,0.0011999999999999,0.0005487778759727466,200.0,200.0
Random,10,CacheDfs,WarmCache,15,0.0003999999999999667,0.0004,0.00021712405933670405,40.0,40.0
Random,10,Morris,Cold,1000,0.0017897999999999645,0.0016999999999999,0.0005476823129478604,40.0,40.0
Random,10,RecursiveDfs,WarmBaseline,15,0.0007666666666666201,0.0006999999999999,0.00020586634591636434,40.0,40.0
Random,100,Bfs,Cold,1000,0.005589299999999951,0.0054999999999999,0.0006679683313538854,2128.0,2128.0
Random,100,CacheDfs,WarmCache,15,0.00041333333333329336,0.0002999999999999,0.0003758165712659159,40.0,40.0
Random,100,Morris,Cold,1000,0.010941599999999975,0.0108,0.0015156142406715927,1128.0,1128.0
Random,100,RecursiveDfs,WarmBaseline,15,0.005219999999999941,0.0048999999999999,0.0007589466384404213,1640.0,1640.0
Random,1000,Bfs,Cold,1000,0.052608899999999965,0.0521,0.004395478474639712,57944.0,57944.0
Random,1000,CacheDfs,WarmCache,15,0.00040666666666665333,0.0002999999999999,0.0003261609301877565,40.0,40.0
Random,1000,Morris,Cold,1000,0.10540989999999997,0.105,0.005906121761720158,61064.0,61064.0
Random,1000,RecursiveDfs,WarmBaseline,15,0.05311999999999996,0.0524999999999999,0.002693696345173308,63848.0,63848.0
