Scenario,Size,Shape,Algorithm,SampleCount,MeanMilliseconds,MedianMilliseconds,StdDevMilliseconds,MinMilliseconds,MaxMilliseconds,MeanAllocatedBytes,Failures
Cold,10,Complete,RecursiveDfs,1000,0.00049910000000000297,0.00050000000000000001,0.0002406017248483474,0.00020000000000000001,0.0060000000000000001,40,0
Cold,10,Complete,Bfs,1000,0.0014103999999999825,0.00089999999999999998,0.014664627231539148,0.00040000000000000002,0.46450000000000002,416.024,0
Cold,10,Complete,CacheDfs,1000,0.0024383999999999829,0.002,0.0086497136045073798,0.001,0.27350000000000002,1432,0
Cold,10,Complete,Morris,1000,0.0015149999999999808,0.001,0.012197382301133063,0.00069999999999999999,0.38650000000000001,40,0
Cold,100,Complete,RecursiveDfs,1000,0.0031961999999999984,0.0030999999999999999,0.00074822828067375017,0.0023999999999999998,0.0195,40,0
Cold,100,Complete,Bfs,1000,0.003662999999999987,0.0035000000000000001,0.000802153975244149,0.0028999999999999998,0.022599999999999999,3176,0
Cold,100,Complete,CacheDfs,1000,0.011620999999999982,0.010999999999999999,0.0014616288858667198,0.0088000000000000005,0.020899999999999998,14952,0
Cold,100,Complete,Morris,1000,0.0089776999999999878,0.0086999999999999994,0.0017809864429579486,0.0068999999999999999,0.0465,40,0
Cold,1000,Complete,RecursiveDfs,1000,0.028649699999999716,0.028199999999999999,0.0016742998267932766,0.024,0.037199999999999997,3688,0
Cold,1000,Complete,Bfs,1000,0.033129200000000004,0.032199999999999999,0.0027622793776155251,0.027,0.069800000000000001,40144,0
Cold,1000,Complete,CacheDfs,1000,0.092545100000000047,0.090399999999999994,0.0061889139588460988,0.0848,0.1474,151136,0
Cold,1000,Complete,Morris,1000,0.079063700000000167,0.076999999999999999,0.0051791420438138322,0.072300000000000003,0.12189999999999999,15784,0
Cold,10,DegenerateLeft,RecursiveDfs,1000,0.00050830000000000254,0.00050000000000000001,0.00064606587125462577,0.00029999999999999997,0.0149,40,0
Cold,10,DegenerateLeft,Bfs,1000,0.0006170999999999938,0.00050000000000000001,0.00044316767707042594,0.00029999999999999997,0.0073000000000000001,200,0
Cold,10,DegenerateLeft,CacheDfs,1000,0.0014910000000000125,0.0012999999999999999,0.00099395120604584583,0.001,0.022800000000000001,1432,0
Cold,10,DegenerateLeft,Morris,1000,0.0011954999999999941,0.0011000000000000001,0.00066733031551098642,0.00080000000000000004,0.0115,40,0
Cold,100,DegenerateLeft,RecursiveDfs,1000,0.0093127999999999978,0.0083999999999999995,0.0034448709932303782,0.0061999999999999998,0.050599999999999999,16224,0
Cold,100,DegenerateLeft,Bfs,1000,0.0070408999999999958,0.0066,0.0021656401340019553,0.0051999999999999998,0.046699999999999998,9328,0
Cold,100,DegenerateLeft,CacheDfs,1000,0.024594300000000006,0.023599999999999999,0.0052952693519782443,0.018100000000000002,0.111,37200,0
Cold,100,DegenerateLeft,Morris,1000,0.015622900000000011,0.0154,0.0026858900926880736,0.0117,0.055300000000000002,13624,0
Cold,1000,DegenerateLeft,RecursiveDfs,1000,0.44482810000000045,0.44219999999999998,0.040084783402059176,0.38979999999999998,1.0109999999999999,909280,0
Cold,1000,DegenerateLeft,Bfs,1000,0.1053801,0.1042,0.014564665941586159,0.093200000000000005,0.27810000000000001,470320,0
Cold,1000,DegenerateLeft,CacheDfs,1000,0.62250220000000067,0.61729999999999996,0.054908394213999782,0.55169999999999997,1.6121000000000001,1301760,0
Cold,1000,DegenerateLeft,Morris,1000,0.40860269999999971,0.40579999999999999,0.047666137904281702,0.36959999999999998,1.0376000000000001,704560,0
Cold,10,DegenerateRight,RecursiveDfs,1000,0.00060729999999999747,0.00050000000000000001,0.00024510550789404764,0.00029999999999999997,0.0038999999999999998,40,0
